id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,7717
4,/,1070
5,이,919
6,.,614
7,고,569
8,는,567
9,(,507
10,),506
11,다,476
12,하,435
13,가,410
14,을,384
15,b,381
16,에,368
17,들,345
18,니,343
19,그,337
20,지,319
21,서,297
22,기,275
23,어,270
24,있,248
25,리,226
26,제,225
27,도,218
28,아,217
29,대,214
30,로,212
31,해,211
32,라,192
33,사,190
34,의,188
35,게,187
36,년,185
37,은,182
38,요,176
39,생,175
40,한,169
41,업,167
42,으,165
43,나,159
44,것,159
45,인,156
46,면,152
47,정,151
48,적,150
49,를,149
50,습,148
51,자,145
52,청,143
53,런,143
54,만,132
55,시,130
56,데,129
57,일,125
58,우,122
59,실,119
60,각,114
61,학,105
62,까,105
63,보,99
64,저,98
65,문,98
66,부,92
67,수,88
68,분,87
69,회,86
70,구,85
71,거,85
72,야,84
73,되,82
74,주,81
75,장,78
76,0,78
77,많,77
78,1,77
79,말,76
80,원,73
81,",",70
82,뭐,69
83,러,69
84,금,69
85,o,69
86,상,68
87,합,67
88,과,65
89,공,65
90,같,65
91,않,62
92,히,61
93,십,61
94,여,58
95,취,57
96,조,57
97,전,57
98,무,57
99,+,56
100,때,55
101,중,53
102,교,53
103,육,52
104,신,52
105,성,52
106,?,51
107,얘,50
108,려,50
109,할,49
110,직,49
111,간,49
112,더,48
113,경,48
114,2,48
115,렇,47
116,위,46
117,등,46
118,민,45
119,현,44
120,트,44
121,오,44
122,없,44
123,번,44
124,좋,43
125,비,42
126,했,40
127,씀,40
128,든,39
129,점,38
130,결,38
131,창,37
132,세,37
133,선,37
134,근,37
135,소,36
136,미,36
137,래,36
138,겠,36
139,희,35
140,바,35
141,명,35
142,떤,35
143,국,35
144,또,34
145,동,34
146,단,34
147,스,33
148,노,33
149,꿈,33
150,와,32
151,안,32
152,싶,32
153,심,32
154,력,32
155,된,32
156,네,32
157,관,32
158,계,32
159,산,31
160,불,31
161,두,31
162,3,31
163,퍼,30
164,었,30
165,약,30
166,드,30
167,%,30
168,죠,29
169,입,29
170,센,29
171,감,29
172,마,28
173,굉,28
174,통,27
175,질,27
176,식,27
177,삼,27
178,너,27
179,건,27
180,진,26
181,좀,26
182,용,25
183,냐,25
184,살,24
185,출,23
186,책,23
187,운,23
188,모,23
189,르,23
190,느,23
191,개,23
192,체,22
193,망,22
194,될,22
195,화,21
196,팔,21
197,받,21
198,못,21
199,람,21
200,내,21
201,강,21
202,황,20
203,포,20
204,잘,20
205,예,20
206,높,20
207,8,20
208,최,19
209,천,19
210,발,19
211,6,19
212,5,19
213,향,18
214,처,18
215,재,18
216,잖,18
217,왜,18
218,련,18
219,떻,18
220,걸,18
221,준,17
222,연,17
223,물,17
224,혼,16
225,집,16
226,작,16
227,본,16
228,늘,16
229,n,16
230,힘,15
231,크,15
232,친,15
233,차,15
234,임,15
235,속,15
236,셨,15
237,배,15
238,른,15
239,님,15
240,역,14
241,맞,14
242,럼,14
243,께,14
244,격,14
245,필,13
246,터,13
247,음,13
248,움,13
249,변,13
250,백,13
251,률,13
252,당,13
253,특,12
254,택,12
255,찾,12
256,외,12
257,왔,12
258,양,12
259,새,12
260,봤,12
261,복,12
262,뭔,12
263,먹,12
264,눈,12
265,누,12
266,갈,12
267,7,12
268,4,12
269,확,11
270,칠,11
271,치,11
272,워,11
273,반,11
274,듯,11
275,던,11
276,닌,11
277,남,11
278,후,10
279,활,10
280,평,10
281,층,10
282,째,10
283,존,10
284,져,10
285,절,10
286,알,10
287,써,10
288,방,10
289,막,10
290,론,10
291,답,10
292,달,10
293,능,10
294,길,10
295,l,10
296,험,9
297,피,9
298,턴,9
299,타,9
300,추,9
301,쳐,9
302,종,9
303,열,9
304,언,9
305,순,9
306,뭘,9
307,립,9
308,냥,9
309,끼,9
310,끔,9
311,꾸,9
312,급,9
313,규,9
314,9,9
315,환,8
316,함,8
317,프,8
318,패,8
319,측,8
320,졸,8
321,족,8
322,영,8
323,앞,8
324,았,8
325,슷,8
326,먼,8
327,매,8
328,담,8
329,낮,8
330,권,8
331,갔,8
332,행,7
333,표,7
334,펴,7
335,테,7
336,케,7
337,참,7
338,짜,7
339,즘,7
340,접,7
341,젊,7
342,유,7
343,엔,7
344,엇,7
345,쓰,7
346,섯,7
347,설,7
348,벌,7
349,목,7
350,린,7
351,따,7
352,디,7
353,독,7
354,놓,7
355,날,7
356,견,7
357,겪,7
358,겁,7
359,u,7
360,S,7
361,훨,6
362,편,6
363,춰,6
364,줄,6
365,욕,6
366,올,6
367,였,6
368,애,6
369,씬,6
370,솔,6
371,붙,6
372,봐,6
373,봉,6
374,벤,6
375,록,6
376,렵,6
377,됩,6
378,넘,6
379,난,6
380,끝,6
381,깊,6
382,걱,6
383,t,6
384,a,6
385,펙,5
386,키,5
387,큼,5
388,큰,5
389,첫,5
390,채,5
391,쪼,5
392,졌,5
393,쟁,5
394,월,5
395,엄,5
396,얼,5
397,억,5
398,박,5
399,루,5
400,량,5
401,랑,5
402,떨,5
403,듣,5
404,돼,5
405,돌,5
406,닙,5
407,낼,5
408,깔,5
409,극,5
410,군,5
411,갖,5
412,T,5
413,N,5
414,E,5
415,*,5
416,!,5
417,휴,4
418,획,4
419,혹,4
420,형,4
421,혐,4
422,핵,4
423,퇴,4
424,토,4
425,태,4
426,카,4
427,징,4
428,증,4
429,줘,4
430,율,4
431,씩,4
432,쉽,4
433,술,4
434,석,4
435,뿐,4
436,빨,4
437,빠,4
438,볼,4
439,별,4
440,밖,4
441,맛,4
442,룹,4
443,료,4
444,렸,4
445,레,4
446,램,4
447,란,4
448,돈,4
449,났,4
450,균,4
451,g,4
452,힐,3
453,호,3
454,혀,3
455,풀,3
456,탁,3
457,침,3
458,초,3
459,쫌,3
460,쪽,3
461,즉,3
462,좌,3
463,응,3
464,온,3
465,압,3
466,씨,3
467,숫,3
468,벽,3
469,범,3
470,밑,3
471,몰,3
472,며,3
473,메,3
474,머,3
475,링,3
476,럽,3
477,럴,3
478,득,3
479,놨,3
480,녀,3
481,낳,3
482,납,3
483,끊,3
484,뀌,3
485,꿀,3
486,꺼,3
487,긴,3
488,긍,3
489,갑,3
490,r,3
491,i,3
492,O,3
493,M,3
494,D,3
495,C,3
496,흔,2
497,흐,2
498,효,2
499,헬,2
500,항,2
501,파,2
502,티,2
503,템,2
504,텐,2
505,쿼,2
506,코,2
507,켜,2
508,커,2
509,충,2
510,찰,2
511,쭉,2
512,쩌,2
513,짓,2
514,즈,2
515,줬,2
516,죄,2
517,잠,2
518,잃,2
519,울,2
520,옛,2
521,엠,2
522,얻,2
523,앴,2
524,쌍,2
525,슨,2
526,쉬,2
527,션,2
528,섭,2
529,삶,2
530,뽑,2
531,봅,2
532,베,2
533,법,2
534,밤,2
535,묻,2
536,몇,2
537,맥,2
538,름,2
539,례,2
540,랜,2
541,랍,2
542,락,2
543,뜨,2
544,딱,2
545,뒷,2
546,됐,2
547,덧,2
548,닿,2
549,늦,2
550,놔,2
551,념,2
552,넓,2
553,낌,2
554,꽤,2
555,깝,2
556,깁,2
557,곳,2
558,곰,2
559,갭,2
560,s,2
561,p,2
562,h,2
563,d,2
564,R,2
565,K,2
566,I,2
567,H,2
568,B,2
569,A,2
570,@,2
571,힙,1
572,흥,1
573,홀,1
574,혜,1
575,혔,1
576,혁,1
577,핀,1
578,픈,1
579,풍,1
580,품,1
581,폭,1
582,폄,1
583,펀,1
584,판,1
585,팅,1
586,틱,1
587,튼,1
588,투,1
589,탱,1
590,탕,1
591,콘,1
592,컸,1
593,캐,1
594,캄,1
595,칩,1
596,츠,1
597,축,1
598,쳤,1
599,첨,1
600,철,1
601,찬,1
602,쫓,1
603,쨰,1
604,쨌,1
605,짧,1
606,좁,1
607,잊,1
608,잉,1
609,융,1
610,웠,1
611,웃,1
612,왕,1
613,완,1
614,엘,1
615,액,1
616,악,1
617,쓸,1
618,쌓,1
619,싸,1
620,싫,1
621,싀,1
622,슴,1
623,슬,1
624,슈,1
625,뺏,1
626,빼,1
627,빅,1
628,브,1
629,붓,1
630,북,1
631,버,1
632,밸,1
633,밥,1
634,밟,1
635,밍,1
636,밀,1
637,뭡,1
638,몸,1
639,몫,1
640,맨,1
641,맡,1
642,맙,1
643,릴,1
644,뤄,1
645,령,1
646,렷,1
647,렌,1
648,랬,1
649,랐,1
650,뜻,1
651,뚜,1
652,똑,1
653,떠,1
654,땡,1
655,땅,1
656,딸,1
657,딴,1
658,딩,1
659,딛,1
660,듭,1
661,둬,1
662,둘,1
663,닷,1
664,닐,1
665,뉴,1
666,눴,1
667,눌,1
668,농,1
669,놀,1
670,논,1
671,넷,1
672,널,1
673,넌,1
674,낸,1
675,낀,1
676,끌,1
677,끄,1
678,뀔,1
679,꿔,1
680,꼽,1
681,꼰,1
682,껴,1
683,껏,1
684,깐,1
685,김,1
686,글,1
687,궁,1
688,괄,1
689,곱,1
690,곁,1
691,겨,1
692,m,1
693,c,1
694,V,1
695,U,1
696,L,1
697,G,1
698,F,1
